"station_id","pollutant_id","aggregation_id","year","value","unit_id","value_remark"
"szRIG","so2","annualmean",2008,0.50,"µg/m3",
"szRIG","so2","annualmean",2009,0.50,"µg/m3",
"szRIG","so2","annualmean",2010,0.50,"µg/m3",
"szRIG","so2","annualmean",2011,0.40,"µg/m3",
"szRIG","so2","annualmean",2012,0.40,"µg/m3",
"szRIG","so2","annualmean",2013,0.40,"µg/m3",
"szRIG","so2","annualmean",2014,0.40,"µg/m3",
"tgTAE","so2","annualmean",1984,8.90,"µg/m3",
"tgTAE","so2","annualmean",1985,12.50,"µg/m3",
"tgTAE","so2","annualmean",1986,9.50,"µg/m3",
"tgTAE","so2","annualmean",1987,9.10,"µg/m3","incomplete series"
"tgTAE","so2","annualmean",1988,6.10,"µg/m3",
"tgTAE","so2","annualmean",1989,4.10,"µg/m3",
"tgTAE","so2","annualmean",1990,4.20,"µg/m3",
"tgTAE","so2","annualmean",1991,4.80,"µg/m3",
"tgTAE","so2","annualmean",1992,3.30,"µg/m3",
"tgTAE","so2","annualmean",1993,3.00,"µg/m3",
"tgTAE","so2","annualmean",1994,2.80,"µg/m3",
"tgTAE","so2","annualmean",1995,2.60,"µg/m3",
"tgTAE","so2","annualmean",1996,2.80,"µg/m3",
"tgTAE","so2","annualmean",1997,2.00,"µg/m3",
"tgTAE","so2","annualmean",1998,1.90,"µg/m3",
"tgTAE","so2","annualmean",1999,1.60,"µg/m3",
"zhZUE","so2","annualmean",1984,47.00,"µg/m3",
"zhZUE","so2","annualmean",1985,52.00,"µg/m3",
"zhZUE","so2","annualmean",1986,39.00,"µg/m3",
"zhZUE","so2","annualmean",1987,31.40,"µg/m3",
"zhZUE","so2","annualmean",1988,27.70,"µg/m3",
"zhZUE","so2","annualmean",1989,23.70,"µg/m3",
"zhZUE","so2","annualmean",1990,18.20,"µg/m3",
"zhZUE","so2","annualmean",1991,19.40,"µg/m3",
"zhZUE","so2","annualmean",1992,16.00,"µg/m3",
"zhZUE","so2","annualmean",1993,13.40,"µg/m3",
"zhZUE","so2","annualmean",1994,11.70,"µg/m3",
"zhZUE","so2","annualmean",1995,11.00,"µg/m3",
"zhZUE","so2","annualmean",1996,10.30,"µg/m3",
"zhZUE","so2","annualmean",1997,9.90,"µg/m3",
"zhZUE","so2","annualmean",1998,10.50,"µg/m3",
"zhZUE","so2","annualmean",1999,8.30,"µg/m3",
"zhZUE","so2","annualmean",2000,6.00,"µg/m3",
"zhZUE","so2","annualmean",2001,4.90,"µg/m3",
"zhZUE","so2","annualmean",2002,4.90,"µg/m3",
"zhZUE","so2","annualmean",2003,5.70,"µg/m3",
"zhZUE","so2","annualmean",2004,4.20,"µg/m3",
"zhZUE","so2","annualmean",2005,4.30,"µg/m3",
"zhZUE","so2","annualmean",2006,3.90,"µg/m3",
"zhZUE","so2","annualmean",2007,3.80,"µg/m3",
"zhZUE","so2","annualmean",2008,3.30,"µg/m3",
"zhZUE","so2","annualmean",2009,2.90,"µg/m3",
"zhZUE","so2","annualmean",2010,2.80,"µg/m3",
"zhZUE","so2","annualmean",2011,2.20,"µg/m3",
"zhZUE","so2","annualmean",2012,2.20,"µg/m3",
"zhZUE","so2","annualmean",2013,2.00,"µg/m3",
"zhZUE","so2","annualmean",2014,1.80,"µg/m3",
"blBAS","so2","95pvaluehalfhour",1984,92.80,"µg/m3","incomplete series"
"blBAS","so2","95pvaluehalfhour",1985,119.40,"µg/m3","incomplete series"
"blBAS","so2","95pvaluehalfhour",1986,172.50,"µg/m3","incomplete series"
"blBAS","so2","95pvaluehalfhour",1987,46.00,"µg/m3","incomplete series"
"blBAS","so2","95pvaluehalfhour",1988,53.10,"µg/m3",
"blBAS","so2","95pvaluehalfhour",1989,53.10,"µg/m3",
"blBAS","so2","95pvaluehalfhour",1990,45.10,"µg/m3",
"blBAS","so2","95pvaluehalfhour",1991,38.50,"µg/m3",
"blBAS","so2","95pvaluehalfhour",1992,35.80,"µg/m3",
"blBAS","so2","95pvaluehalfhour",1993,30.50,"µg/m3",
"blBAS","so2","95pvaluehalfhour",1994,20.90,"µg/m3",
"blBAS","so2","95pvaluehalfhour",1995,23.20,"µg/m3",
"blBAS","so2","95pvaluehalfhour",1996,21.50,"µg/m3",
"blBAS","so2","95pvaluehalfhour",1997,24.40,"µg/m3",
"blBAS","so2","95pvaluehalfhour",1998,22.40,"µg/m3",
"blBAS","so2","95pvaluehalfhour",1999,17.00,"µg/m3",
"blBAS","so2","95pvaluehalfhour",2000,15.30,"µg/m3",
"blBAS","so2","95pvaluehalfhour",2001,13.30,"µg/m3",
"blBAS","so2","95pvaluehalfhour",2002,23.30,"µg/m3",
"blBAS","so2","95pvaluehalfhour",2003,17.70,"µg/m3",
"blBAS","so2","95pvaluehalfhour",2004,12.50,"µg/m3",
"blBAS","so2","95pvaluehalfhour",2005,14.20,"µg/m3",
