"station_id","station_name","station_measuring_network","station_kanton","station_y","station_x","station_altitude","station_type_de","station_type_of_area_de"
"juSAI","Saignelégier","JU","JU",566840.00,234440.00,990.00,"Hintergrund","Ländlich"
"luEBS","Ebikon-Sedel","LU","LU",665480.00,213325.00,484.00,"Hintergrund","Vorstädtisch"
"luLLP","Luzern-Löwenplatz","LU","LU",666240.00,212150.00,435.00,"Verkehr","Städtisch"
"luLMO","Luzern-Moosstrasse","LU","LU",665789.00,210898.00,441.00,"Verkehr","Städtisch"
"luLMS","Luzern-Museggstrasse","LU","LU",666190.00,211975.00,460.00,"Hintergrund","Städtisch"
"luMGG","Meggen","LU","LU",671275.00,211275.00,490.00,"Hintergrund","Vorstädtisch"
"luREI","Reiden-A2","LU","LU",639560.00,232110.00,462.00,"Verkehr","Ländlich"
"luSCH","Schüpfheim","LU","LU",644700.00,201100.00,740.00,"Hintergrund","Ländlich"
"neCHA","Chaumont","NABEL","NE",565090.00,211040.00,1136.00,"Hintergrund","Ländlich"
"neCOR","Cornaux","NE","NE",568860.00,209993.00,432.00,"Verkehr","Ländlich"
"neLCF","La-Chaux-de-Fonds","NE","NE",553467.00,216963.00,997.00,"Verkehr","Städtisch"
"neLLA","Le-Landeron","NE","NE",571175.00,210800.00,431.00,"Hintergrund","Ländlich"
"neLLC","Le-Locle","NE","NE",548581.00,212842.00,931.00,"Verkehr","Vorstädtisch"
"neNEU","Neuchâtel","NE","NE",561518.00,204935.00,461.00,"Verkehr","Städtisch"
"neNJA","Neuchâtel-Jardin-Anglais","NE","NE",561916.00,204928.00,435.00,"Verkehr","Städtisch"
"nwSTA","Stans","NW","NW",670840.00,201235.00,438.00,"Hintergrund","Vorstädtisch"
"owENG","Engelberg","OW","OW",673495.00,185670.00,1001.00,"Hintergrund","Vorstädtisch"
"owLUN","Lungern-Schönbüel","OW","OW",652760.00,182250.00,1550.00,"Hintergrund","Ländlich"
"sgBBP","St-Gallen-Blumenbergplatz","SG","SG",746010.00,254720.00,675.00,"Verkehr","Städtisch"
"sgGRA","Grabs-Marktplatz","SG","SG",752150.00,227830.00,475.00,"Hintergrund","Vorstädtisch"
"sgRAP","Rapperswil-Tüchelweier","SG","SG",704855.00,231660.00,412.00,"Verkehr","Städtisch"
"sgSBD","St-Gallen-Bild","SG","SG",741160.00,252470.00,655.00,"Verkehr","Vorstädtisch"
"sgSGR","St-Gallen-Rorschacherstrasse","SG","SG",746950.00,254950.00,660.00,"Verkehr","Städtisch"
"sgSGS","St-Gallen-Stuelegg","SG","SG",747600.00,252530.00,920.00,"Hintergrund","Ländlich"
"shNHA","Neuhausen-Galgenbuck","SH","SH",688240.00,282800.00,490.00,"Hintergrund","Vorstädtisch"
"soBOS","Biberist-Ost","SO","SO",609853.00,225305.00,450.00,"Industrie","Vorstädtisch"
"soBRB","Breitenbach","SO","SO",608098.00,250608.00,392.00,"Industrie","Vorstädtisch"
"soBRU","Brunnersberg","SO","SO",613930.00,242408.00,1089.00,"Hintergrund","Ländlich"
"soBSC","Biberist-Schachen","SO","SO",609195.00,224751.00,450.00,"Industrie","Vorstädtisch"
"soBST","Bettlachstock","SO","SO",598000.00,230550.00,1250.00,"Hintergrund","Ländlich"
"soDOR","Dornach-Schulhaus-Brühl","SO","SO",613144.00,258911.00,310.00,"Hintergrund","Vorstädtisch"
"soEGE","Egerkingen","SO","SO",627039.00,240750.00,435.00,"Verkehr","Vorstädtisch"
"soGRE","Grenchen-Zentrum","SO","SO",596570.00,226740.00,460.00,"Hintergrund","Städtisch"
"soGWT","Grenchen-Witi","SO","SO",597298.00,224938.00,429.00,"Hintergrund","Ländlich"
"soHAE","Härkingen-A1","NABEL","SO",628875.00,240185.00,431.00,"Verkehr","Ländlich"
"soOLT","Olten-Froheim","SO","SO",634730.00,244798.00,410.00,"Hintergrund","Städtisch"
"soSAW","Solothurn-Altwyberhüsli","SO","SO",607067.00,229160.00,453.00,"Hintergrund","Städtisch"
"soSWH","Solothurn-Werkhofstrasse","SO","SO",607259.00,228757.00,441.00,"Verkehr","Städtisch"
"szFEU","Feusisberg","SZ","SZ",699300.00,227200.00,670.00,"Hintergrund","Ländlich"
"szRIG","Rigi-Seebodenalp","NABEL","SZ",677835.00,213440.00,1031.00,"Hintergrund","Ländlich"
"szSYZ","Schwyz","SZ","SZ",691911.00,208039.00,470.00,"Hintergrund","Vorstädtisch"
"szTUG","Tuggen Mehrzweckhalle","SZ","SZ",714313.00,228841.00,408.00,"Hintergrund","Ländlich"
"tgARB","Arbon-Bahnhofstrasse","TG","TG",750400.00,264540.00,400.00,"Verkehr","Vorstädtisch"
"tgARK","Arbon-Krone","TG","TG",750300.00,264425.00,398.00,"Verkehr","Vorstädtisch"
"tgASH","Arbon-Stadthaus","TG","TG",750325.00,264760.00,407.00,"Verkehr","Städtisch"
"tgFRA","Frauenfeld-Bahnhofstrasse","TG","TG",709556.00,268278.00,403.00,"Hintergrund","Vorstädtisch"
"tgKRE","Kreuzlingen","TG","TG",730125.00,278830.00,418.00,"Verkehr","Vorstädtisch"
"tgLIP","Lipperswil","TG","TG",721110.00,274700.00,470.00,"Hintergrund","Ländlich"
"tgMAU","Mauren-Pünt","TG","TG",729160.00,269400.00,439.00,"Hintergrund","Ländlich"
"tgOTT","Ottoberg","TG","TG",724650.00,272320.00,600.00,"Hintergrund","Ländlich"
"tgROG","Roggwil","TG","TG",748625.00,263100.00,404.00,"Verkehr","Ländlich"
"tgROM","Romanshorn","TG","TG",742960.00,268860.00,430.00,"Hintergrund","Ländlich"
"tgSIR","Sirnach","TG","TG",717295.00,258087.00,530.00,"Verkehr","Ländlich"
"tgTAE","Tänikon","NABEL","TG",710500.00,259810.00,538.00,"Hintergrund","Ländlich"
"tgTGN","Tägerwilen-Nagelshusen","TG","TG",728050.00,278255.00,504.00,"Hintergrund","Ländlich"
"tgTGW","Tägerwilen","TG","TG",727680.00,279770.00,408.00,"Hintergrund","Ländlich"
